case,run,sample,ns,pairs,contacts,compression_m,reserved_bytes
warm_1,0,299,93625,320,320,0.677203,628040
warm_1,0,300,93792,320,320,0.677353,628040
warm_1,0,301,93334,320,320,0.677505,628040
warm_1,0,302,94083,320,320,0.677657,628040
warm_1,0,303,93500,320,320,0.677811,628040
warm_1,0,304,93084,320,320,0.677965,628040
warm_1,0,305,93333,320,320,0.678121,628040
warm_1,0,306,92542,320,320,0.678276,628040
warm_1,0,307,92708,320,320,0.678431,628040
warm_1,0,308,94916,320,320,0.678585,628040
warm_1,0,309,93833,320,320,0.67874,628040
warm_1,0,310,94709,320,320,0.678893,628040
warm_1,0,311,94500,320,320,0.679046,628040
warm_1,0,312,93500,320,320,0.679196,628040
warm_1,0,313,93042,320,320,0.679347,628040
warm_1,0,314,94000,320,320,0.679496,628040
warm_1,0,315,94667,320,320,0.679643,628040
warm_1,0,316,93166,320,320,0.679787,628040
warm_1,0,317,91750,320,320,0.679929,628040
warm_1,0,318,91584,320,320,0.680069,628040
warm_1,0,319,92167,320,320,0.680207,628040
warm_1,0,320,91750,320,320,0.680344,628040
warm_1,0,321,92000,320,320,0.680478,628040
warm_1,0,322,91500,320,320,0.680611,628040
warm_1,0,323,93083,320,320,0.68074,628040
warm_1,0,324,91791,320,320,0.680869,628040
warm_1,0,325,92000,320,320,0.680996,628040
warm_1,0,326,91916,320,320,0.681121,628040
warm_1,0,327,92291,320,320,0.681245,628040
warm_1,0,328,91625,320,320,0.681368,628040
warm_1,0,329,91708,320,320,0.68149,628040
warm_1,0,330,91666,320,320,0.681612,628040
warm_1,0,331,91500,320,320,0.681733,628040
warm_1,0,332,91459,320,320,0.681854,628040
warm_1,0,333,91792,320,320,0.681975,628040
warm_1,0,334,91708,320,320,0.682096,628040
warm_1,0,335,92042,320,320,0.682218,628040
warm_1,0,336,91750,320,320,0.68234,628040
warm_1,0,337,92208,320,320,0.682462,628040
warm_1,0,338,92083,320,320,0.682584,628040
warm_1,0,339,90916,320,320,0.682707,628040
warm_1,0,340,92916,320,320,0.68283,628040
warm_1,0,341,91583,320,320,0.682955,628040
warm_1,0,342,90584,320,320,0.68308,628040
warm_1,0,343,91208,320,320,0.683205,628040
warm_1,0,344,90875,320,320,0.68333,628040
warm_1,0,345,90875,320,320,0.683455,628040
warm_1,0,346,90417,320,320,0.683579,628040
warm_1,0,347,90333,320,320,0.683705,628040
warm_1,0,348,90209,320,320,0.68383,628040
warm_1,0,349,90250,320,320,0.683955,628040
warm_1,0,350,90708,320,320,0.684079,628040
warm_1,0,351,91416,320,320,0.684202,628040
warm_1,0,352,91291,320,320,0.684325,628040
warm_1,0,353,90875,320,320,0.684446,628040
warm_1,0,354,90667,320,320,0.684566,628040
warm_1,0,355,91500,320,320,0.684686,628040
warm_1,0,356,90833,320,320,0.684803,628040
warm_1,0,357,90500,320,320,0.684918,628040
warm_1,0,358,90500,320,320,0.685033,628040
warm_1,0,359,91417,320,320,0.685146,628040
warm_1,0,360,90500,320,320,0.685258,628040
warm_1,0,361,93875,320,320,0.685369,628040
warm_1,0,362,91708,320,320,0.685477,628040
warm_1,0,363,91208,320,320,0.685585,628040
warm_1,0,364,91000,320,320,0.685692,628040
warm_1,0,365,90625,320,320,0.685798,628040
warm_1,0,366,91125,320,320,0.685902,628040
warm_1,0,367,90917,320,320,0.686006,628040
warm_1,0,368,92000,320,320,0.686108,628040
warm_1,0,369,90792,320,320,0.68621,628040
warm_1,0,370,90791,320,320,0.686311,628040
warm_1,0,371,91250,320,320,0.686412,628040
warm_1,0,372,90917,320,320,0.686513,628040
