sample,integrate_ns,proxies_ns,broadphase_ns,contacts_ns,solve_ns,pairs,contacts
572,5667,2458,2833,4167,357625,320,320
573,5791,2500,2875,4250,353625,320,320
574,5709,2416,2875,4375,353084,320,320
575,5750,2458,2833,4125,352834,320,320
576,5750,2458,2833,4334,353166,320,320
577,5708,2459,2791,4459,369666,320,320
578,6084,2583,3875,4542,356208,320,320
579,5708,2458,3042,4292,361791,320,320
580,6417,3083,3625,5125,364833,320,320
581,5750,2417,2875,4250,364625,320,320
582,5750,2542,2833,4209,367375,320,320
583,5709,2500,2875,4458,359875,320,320
584,5792,2500,2833,4208,359167,320,320
585,5833,2459,2875,4375,364666,320,320
586,5875,2500,2958,4250,364875,320,320
587,5917,2500,3000,4416,365417,320,320
588,5916,2500,3000,4542,363000,320,320
589,5833,2584,2958,4292,363750,320,320
590,5791,2500,2875,4459,358458,320,320
591,5833,2458,2875,4375,362375,320,320
592,5833,2459,2875,4500,361083,320,320
593,5916,2459,2875,4166,358584,320,320
594,5750,2459,2916,4209,370208,320,320
595,5750,2417,2916,4167,355250,320,320
596,5708,2458,2959,4375,354541,320,320
597,5750,2542,2875,4125,357333,320,320
598,5792,2416,2917,4333,355292,320,320
599,5666,2459,2833,4125,354875,320,320
